"frame"	"time"	"ep"	"len"	"data"
"1285"	"7.768253000"	"0x02"	"16"	"02910001000800000000000000300100"
"1288"	"7.768480000"	"0x82"	"64"	"0201000100f8000040000000003001000100484557373030303732313639303200007e056920010601232323a0a0a0e6e6e6323232ffffffffffffffffffffff"
"1290"	"7.768570000"	"0x82"	"16"	"ffffffffffffffffffffffffffffffff"
"1291"	"7.768603000"	"0x02"	"16"	"02910001000800000000000040300100"
"1294"	"7.768975000"	"0x82"	"64"	"0201000100f800004000000040300100eef8df41443f153cb28cf1ba9bef48baffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff"
"1296"	"7.769062000"	"0x82"	"16"	"ffffffffffffffffffffffffffffffff"
"1297"	"7.769115000"	"0x02"	"16"	"02910001000800000000000080300100"
"1300"	"7.769387000"	"0x82"	"64"	"0201000100f80000400000008030010001add99a555665a0000aa0000ae2200ee2200e9aadd99aadd90aa5500aa5502ff6622ff6620affffcb97847e36648516"
"1302"	"7.769481000"	"0x82"	"16"	"63ffffffffffffffffffffffffffffff"
"1303"	"7.769528000"	"0x02"	"16"	"029100010008000000000000c0300100"
"1306"	"7.770048000"	"0x82"	"64"	"0201000100f8000040000000c030010001add99a555665a0000aa0000ae2200ee2200e9aadd99aadd90aa5500aa5502ff6622ff6620affff60b8842606632016"
"1308"	"7.770148000"	"0x82"	"16"	"69ffffffffffffffffffffffffffffff"
"1309"	"7.770185000"	"0x02"	"16"	"02910001000800000000000000310100"
"1312"	"7.770426000"	"0x82"	"64"	"0201000100f800004000000000310100000000000000000000000000255d55be6c6b40bdaff11e41ffffffffffffffffffffffffffffffffffffffffffffffff"
"1314"	"7.770510000"	"0x82"	"16"	"ffffffffffffffffffffffffffffffff"
"1315"	"7.770547000"	"0x02"	"16"	"02910001000800000000000040c01f00"
"1318"	"7.771070000"	"0x82"	"64"	"0201000100f800004000000040c01f00ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff"
"1320"	"7.771149000"	"0x82"	"16"	"ffffffffffffffffffffffffffffffff"
"1321"	"7.771171000"	"0x02"	"16"	"02910001000800000000000080c01f00"
"1324"	"7.771476000"	"0x82"	"64"	"0201000100f800004000000080c01f00ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff"
"1326"	"7.771570000"	"0x82"	"16"	"ffffffffffffffffffffffffffffffff"
"1327"	"7.771599000"	"0x02"	"8"	"0791000100000000"
"1330"	"7.771684000"	"0x82"	"9"	"0701000100f8000000"
"1331"	"7.771707000"	"0x02"	"12"	"0c9100020004000027000000"
"1349"	"7.873062000"	"0x02"	"8"	"1191000100000000"
"1362"	"7.953446000"	"0x82"	"12"	"0c01000200f8000000000000"
"1363"	"7.953530000"	"0x02"	"28"	"0a9100080014000001ffffffffffffffff3500460000000000000000"
"1366"	"7.954012000"	"0x82"	"8"	"0a01000800f80000"
"1367"	"7.954040000"	"0x02"	"12"	"0c9100040004000027000000"
"1370"	"7.954434000"	"0x82"	"12"	"0c01000400f8000000000000"
"1371"	"7.954479000"	"0x02"	"8"	"0191000c00000000"
"1374"	"7.954627000"	"0x82"	"12"	"0101000c00f8000061125010"
"1375"	"7.954648000"	"0x02"	"8"	"0191000100000000"
"1378"	"7.954853000"	"0x82"	"8"	"0104000100f80000"
"1379"	"7.954871000"	"0x02"	"12"	"089100020004000001000000"
"1382"	"7.955024000"	"0x82"	"8"	"0804000200f80000"
"1383"	"7.955041000"	"0x02"	"12"	"0391000a0004000005000000"
"1386"	"7.955215000"	"0x82"	"8"	"0301000a00f80000"
"1387"	"7.955254000"	"0x02"	"16"	"0391000d000800000100ffffffffffff"
"1390"	"7.956070000"	"0x82"	"12"	"0301000d00f8000001000000"
"1981"	"8.745606000"	"0x02"	"16"	"09910007000800000100000000000000"
"1984"	"8.745869000"	"0x82"	"8"	"0901000700f80000"
"2303"	"9.233373000"	"0x02"	"16"	"09910007000800000000000000000000"
"2306"	"9.233579000"	"0x82"	"8"	"0901000700f80000"
"2307"	"9.233843000"	"0x02"	"16"	"09910007000800000000000000000000"
"2310"	"9.234447000"	"0x82"	"8"	"0901000700f80000"
"2311"	"9.234497000"	"0x02"	"16"	"09910007000800000000000000000000"
"2314"	"9.234697000"	"0x82"	"8"	"0901000700f80000"
"2315"	"9.234726000"	"0x02"	"16"	"09910007000800000000000000000000"
"2318"	"9.234867000"	"0x82"	"8"	"0901000700f80000"
"2321"	"9.237602000"	"0x02"	"16"	"09910007000800000000000000000000"
"2324"	"9.237764000"	"0x82"	"8"	"0901000700f80000"
"2339"	"9.257531000"	"0x02"	"16"	"09910007000800000100000000000000"
"2342"	"9.257697000"	"0x82"	"8"	"0901000700f80000"
"18041"	"25.410928000"	"0x02"	"16"	"09910007000800000000000000000000"
"18044"	"25.411210000"	"0x82"	"8"	"0901000700f80000"
"18079"	"25.462367000"	"0x02"	"16"	"09910007000800000100000000000000"
"18082"	"25.463199000"	"0x82"	"8"	"0901000700f80000"
"18085"	"25.466745000"	"0x02"	"16"	"09910007000800000000000000000000"
"18088"	"25.466927000"	"0x82"	"8"	"0901000700f80000"
"29917"	"43.086851000"	"0x02"	"16"	"09910007000800000000000000000000"
"29920"	"43.087077000"	"0x82"	"8"	"0901000700f80000"
"35057"	"47.854964000"	"0x02"	"16"	"09910007000800000000000000000000"
"35060"	"47.855158000"	"0x82"	"8"	"0901000700f80000"
"43481"	"52.901204000"	"0x02"	"16"	"09910007000800000000000000000000"
"43486"	"52.901471000"	"0x82"	"8"	"0901000700f80000"
"64331"	"68.476510000"	"0x02"	"16"	"09910007000800000000000000000000"
"64334"	"68.476710000"	"0x82"	"8"	"0901000700f80000"
"65941"	"69.689089000"	"0x02"	"12"	"0c9100040004000027000000"
"65944"	"69.689265000"	"0x82"	"12"	"0c01000400f8000000000000"
"88885"	"97.669341000"	"0x02"	"16"	"09910007000800000000000000000000"
"88888"	"97.669550000"	"0x82"	"8"	"0901000700f80000"
