frame.number	frame.time_relative	usb.endpoint_address	usb.setup.bRequest	usb.setup.wValue	usb.setup.wIndex	usb.setup.wLength	usb.data_len	usb.getDescriptor.Response	usb.capdata
1179	7.406595000	0x80	6			18	8		
1180	7.407849000	0x80					18		
1181	7.407874000	0x80	6			9	8		
1182	7.410924000	0x80					9		
1183	7.410940000	0x80	6			80	8		
1184	7.414847000	0x80					80		
1185	7.416240000	0x00	9		0	0	8		
1190	7.421982000	0x00					0		
1191	7.422037000	0x00					0		
1192	7.422040000	0x00					0		
1193	7.422044000	0x00					0		
1194	7.423860000	0x80					16		0000000104000200000000000000
1195	7.423877000	0x00					0		
1196	7.426882000	0x80					64		0000000104000200000000000000000100000000000000000000000000000000000000000000010157494e55534200000000000000000000000000000000
1197	7.427812000	0x80	6			4	8		
1198	7.430855000	0x80					4		
1199	7.430884000	0x80	6			14	8		
1200	7.436851000	0x80					14		
1201	7.437950000	0x80	6			4	8		
1202	7.440876000	0x80					4		
1203	7.440902000	0x80	6			30	8		
1206	7.446845000	0x80					30		
1209	7.459860000	0x00					8		
1210	7.461136000	0x00					0		
1211	7.461207000	0x80					8		
1212	7.464850000	0x80					97		
1215	7.467495000	0x80	0	0x0000	0	2	8		
1216	7.470847000	0x80					2		
1223	7.484806000	0x80	6			262	8		
1224	7.486851000	0x80					14		
1225	7.492982000	0x80	6			1026	8		
1226	7.494852000	0x80					14		
1227	7.494889000	0x80	6			1026	8		
1228	7.497846000	0x80					6		
1265	7.729132000	0x80	6			258	8		
1266	7.730848000	0x80					18		
1267	7.730908000	0x80	6			258	8		
1272	7.733847000	0x80					30		
1273	7.733875000	0x80	6			258	8		
1274	7.736864000	0x80					6		
1279	7.760398000	0x80	6			258	8		
1280	7.761853000	0x80					18		
1281	7.761891000	0x80	6			258	8		
1282	7.764860000	0x80					30		
1283	7.764894000	0x80	6			258	8		
1284	7.767847000	0x80					6		
